P/S MONTH	P/S CODE	P/L FROM	P/L TO	PART NO.	PART COLOR	PART NAME	DATE	QTY(M/S)	QTY(ADJ)	QTY(TOTAL)	FIX_TYPE
12/2019	G4AM01	1PA001	AM    	23427RPC 0002     	           	GEAR,PARKING                  	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA001	AM    	23427RPC 0002     	           	GEAR,PARKING                  	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA001	AM    	23427RPC 0002     	           	GEAR,PARKING                  	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA001	AM    	23461RG5 0003     	           	GEAR,S-4                      	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA001	AM    	23461RG5 0003     	           	GEAR,S-4                      	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA001	AM    	23461RG5 0003     	           	GEAR,S-4                      	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA001	AM    	23481RG5 0101     	           	GEAR,M-5                      	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA001	AM    	23481RG5 0101     	           	GEAR,M-5                      	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA001	AM    	23481RG5 0101     	           	GEAR,M-5                      	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA001	AM    	23491RG5 0003     	           	GEAR,C-5                      	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA001	AM    	23491RG5 0003     	           	GEAR,C-5                      	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA001	AM    	23491RG5 0003     	           	GEAR,C-5                      	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA001	AM    	23566RPC 0000     	           	HUB,SELECTOR                  	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA001	AM    	23566RPC 0000     	           	HUB,SELECTOR                  	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA001	AM    	23566RPC 0000     	           	HUB,SELECTOR                  	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA001	MCFE  	23511RPC 0001NA   	           	GEAR,M-I(SOZAI)               	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PA001	MCFE  	23515RPC 0101NA   	           	GEAR,IDLE(SOZAI)              	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PA001	MCFE  	23521RPC 0001NA   	           	GEAR,S-I(SOZAI)               	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PA001	MCFE  	41233RG0 0001NC   	           	GEAR, FINAL DRIVEN            	03/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA001	MCFE  	41233RG0 0001NC   	           	GEAR, FINAL DRIVEN            	17/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA001	MCFE  	41233RG0 0001NC   	           	GEAR, FINAL DRIVEN            	20/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA002	AM    	24111RPC 0000     	           	FORK,RVS SHIFT                	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA002	AM    	24111RPC 0000     	           	FORK,RVS SHIFT                	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA002	AM    	24111RPC 0000     	           	FORK,RVS SHIFT                	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA002	AM    	24271PRP 0005     	           	SHAFT,SHIFT FORK              	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA002	AM    	24271PRP 0005     	           	SHAFT,SHIFT FORK              	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA002	AM    	24271PRP 0005     	           	SHAFT,SHIFT FORK              	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA002	AM    	24410RMM 0000     	           	SHAFT COMP, CONTROL           	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA002	AM    	24410RMM 0000     	           	SHAFT COMP, CONTROL           	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA002	AM    	24410RMM 0000     	           	SHAFT COMP, CONTROL           	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA002	AM    	24630PRP 0003     	           	ARM COMP, CHANGE DETENT       	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA002	AM    	24630PRP 0003     	           	ARM COMP, CHANGE DETENT       	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA002	AM    	24630PRP 0003     	           	ARM COMP, CHANGE DETENT       	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA002	AM    	2515CRPC 0000     	           	STATOR SHAFT ASSY             	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA002	AM    	2515CRPC 0000     	           	STATOR SHAFT ASSY             	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA002	AM    	2515CRPC 0000     	           	STATOR SHAFT ASSY             	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA003	AM    	41100RPC 0100     	           	DIFF COMP                     	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PA003	AM    	41100RPC 0100     	           	DIFF COMP                     	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PA003	AM    	41100RPC 0100     	           	DIFF COMP                     	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PA004	AM    	91201PA9 0044     	           	OIL SEAL,9X18X7               	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PA004	AM    	91205PL3 A016M1   	           	OIL SEAL,35X56X8              	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PA004	AM    	91209612 0035     	           	OIL SEAL,12X22X7              	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PA004	AM    	91301PC9 0034     	           	O-RING,7.7X2.3                	02/12/2019	    3240	       0	      3240	0
12/2019	G4AM01	1PA004	AM    	91305PC9 0034     	           	O-RING,34X1.9                 	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PA004	AM    	91316PR9 0033     	           	O-RING,33X1.9                 	02/12/2019	    2160	       0	      2160	0
12/2019	G4AM01	1PA004	AM    	91344580 0004     	           	O-RING,31X2.7                 	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PC001	AM    	24905RG0 0100     	           	BRKT,CONTROL WIRE             	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PC001	AM    	24905RG0 0100     	           	BRKT,CONTROL WIRE             	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PC001	AM    	24905RG0 0100     	           	BRKT,CONTROL WIRE             	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PC001	AM    	27580RPC 0000     	           	COVER,SERVO ACCUM             	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PC001	AM    	27580RPC 0000     	           	COVER,SERVO ACCUM             	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PC001	AM    	27580RPC 0000     	           	COVER,SERVO ACCUM             	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PC001	AM    	28450RG5 0001     	           	COVER,SOLENOID                	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PC001	AM    	28450RG5 0001     	           	COVER,SOLENOID                	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PC001	AM    	28450RG5 0001     	           	COVER,SOLENOID                	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PD001	AM    	28260RG5 0042     	           	LINEAR SOLENOID ASSY B        	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PD001	AM    	28260RG5 0042     	           	LINEAR SOLENOID ASSY B        	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PD001	AM    	28260RG5 0042     	           	LINEAR SOLENOID ASSY B        	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PF001	AM    	22500RPC 0036     	           	CLUTCH ASSY,LOW               	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PF001	AM    	22500RPC 0036     	           	CLUTCH ASSY,LOW               	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PF001	AM    	22500RPC 0036     	           	CLUTCH ASSY,LOW               	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PF001	AM    	22650RMM 0033     	           	CLUTCH ASSY,3-5               	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PF001	AM    	22650RMM 0033     	           	CLUTCH ASSY,3-5               	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PF001	AM    	22650RMM 0033     	           	CLUTCH ASSY,3-5               	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PF002	AM    	28950RR4 0000     	           	HARN,POSITION SENSOR          	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PH001	AM    	21231RG5 0100     	           	HANGER COMP, TRANSMISSION     	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PH001	AM    	21515RPC 0000     	           	STAY C,HARNESS                	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	21720RPC 0000     	           	COVER COMP, POSITION SENSOR   	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PH001	AM    	27112RPC 0000     	           	PLATE,MAIN SEP                	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PH001	AM    	27212RPC 0000     	           	PLATE,REG SEP                 	02/12/2019	     300	       0	       300	0
12/2019	G4AM01	1PH001	AM    	27263PX3 0004     	           	SEAT,VALVE SPG.               	02/12/2019	    6000	       0	      6000	0
12/2019	G4AM01	1PH001	AM    	27412RPC 0001     	           	PLATE,SERVO SEP               	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PH001	AM    	27522PRP 0001     	           	SPG,SHIFT A                   	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	27524P6H 0002     	           	CLIP,CAP                      	02/12/2019	    3600	       0	      3600	0
12/2019	G4AM01	1PH001	AM    	27575RPC 0000     	           	SPG B,TOP ACCUM               	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	27623PRP 0001     	           	SPG,L/C SHIFT                 	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	41381RLM 0000     	           	SPACER,41X80X1                	02/12/2019	     540	       0	       540	0
12/2019	G4AM01	1PH001	AM    	41382RLM 0000     	           	SPACER,41X76.2X1              	02/12/2019	     540	       0	       540	0
12/2019	G4AM01	1PH001	AM    	90443RPC 0001     	           	COLLAR,29X35X33               	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PH001	AM    	90445RPC 0001     	           	COLLAR,33X45X7.8              	02/12/2019	     300	       0	       300	0
12/2019	G4AM01	1PH001	AM    	90501RPC 0001     	           	COLLAR,27X32X60.5             	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PH001	AM    	90616RPC 0000     	           	RING,SNAP,33MM                	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	90621RPC 0001     	           	CIRCLIP,EX 26                 	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	91017PZK 0031     	           	BRG,NEEDLE 23X29X18           	02/12/2019	     600	       0	       600	0
12/2019	G4AM01	1PH001	AM    	91021RPC 0030     	           	NEEDLE,THRUST 35X52X2.5       	02/12/2019	     900	       0	       900	0
12/2019	G4AM01	1PH001	AM    	91022RPC 0130     	           	NEEDLE,THRUST 32X43.4X2       	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	91023RPC 0030     	           	NEEDLE,THRUST 32X51.5X2.5     	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	91024RPC 0030     	           	NEEDLE,THRUST 52.5X66.5X2     	02/12/2019	     660	       0	       660	0
12/2019	G4AM01	1PH001	AM    	91025RPC 0030     	           	NEEDLE,THRUST 31X44X2.5       	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	91026RPC 0030     	           	NEEDLE,THRUST 38.5X51.5X2.5   	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	91027RPC 0030     	           	NEEDLE,THRUST 49.5X64X2.5     	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	91028RPC 0030     	           	NEEDLE,THRUST 43X55.5X2.5     	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PH001	AM    	91101RPC 0030     	           	BRG,NEEDLE 33.5X59X19         	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PH001	AM    	91102RPC 0032     	           	BRG,NEEDLE 30X52X19           	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PI001	AM    	22749PW4 0001     	           	PIPE,35                       	02/12/2019	    2400	       0	      2400	0
12/2019	G4AM01	1PI001	AM    	22753RG5 0000     	           	PIPE,6X196.5                  	02/12/2019	     600	       0	       600	0
12/2019	G4AM01	1PI001	AM    	22771RPC 0002     	           	PIPE COMP A,JOINT             	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PI001	AM    	22772RPC 0003     	           	PIPE COMP B,JOINT             	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PI001	AM    	27122RGC 0002     	           	CAP,11MM                      	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PI001	AM    	27132P6H 0002     	           	CAP,14MM                      	02/12/2019	       0	       0	         0	0
12/2019	G4AM01	1PI001	AM    	27142P6H 0003     	           	CAP,15MM                      	02/12/2019	    2400	       0	      2400	0
12/2019	G4AM01	1PI001	AM    	90441RPC 0000     	           	COLLAR, 33.2X40X26            	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PI001	AM    	90705PA9 0002     	           	PIN,DOWEL,14X25               	02/12/2019	    1200	       0	      1200	0
12/2019	G4AM01	1PI001	AM    	9430108140        	           	DOWEL,PIN,8X14                	02/12/2019	    5000	       0	      5000	0
12/2019	G4AM01	1PK001	AM    	23210RPC 0001     	           	MAINSHAFT COMP                	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PK001	AM    	23210RPC 0001     	           	MAINSHAFT COMP                	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PK001	AM    	23210RPC 0001     	           	MAINSHAFT COMP                	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PK001	AM    	23230RG5 0001     	           	SECONDARYSHAFT COMP           	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PK001	AM    	23230RG5 0001     	           	SECONDARYSHAFT COMP           	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PK001	AM    	23230RG5 0001     	           	SECONDARYSHAFT COMP           	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PK001	MCFE  	23221RG0 0001NA   	           	COUNTERSHAST (SOZAI)          	02/12/2019	     420	       0	       420	0
12/2019	G4AM01	1PM001	AM    	23411RG5 0002     	           	GEAR,S-L                      	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PM001	AM    	23411RG5 0002     	           	GEAR,S-L                      	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PM001	AM    	23411RG5 0002     	           	GEAR,S-L                      	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PM001	AM    	23421RG5 0002     	           	GEAR,C-L                      	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PM001	AM    	23421RG5 0002     	           	GEAR,C-L                      	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PM001	AM    	23421RG5 0002     	           	GEAR,C-L                      	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PM001	AM    	23431RG5 0001     	           	GEAR,S-2                      	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PM001	AM    	23431RG5 0001     	           	GEAR,S-2                      	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PM001	AM    	23431RG5 0001     	           	GEAR,S-2                      	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PM001	AM    	23441RG5 0002     	           	GEAR,C-2                      	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PM001	AM    	23441RG5 0002     	           	GEAR,C-2                      	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PM001	AM    	23441RG5 0002     	           	GEAR,C-2                      	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PM001	AM    	23451RPC J002     	           	GEAR,C-3                      	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PM001	AM    	23451RPC J002     	           	GEAR,C-3                      	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PM001	AM    	23451RPC J002     	           	GEAR,C-3                      	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PM001	AM    	23455RPC J002     	           	GEAR,M-3                      	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PM001	AM    	23455RPC J002     	           	GEAR,M-3                      	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PM001	AM    	23455RPC J002     	           	GEAR,M-3                      	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PM001	AM    	2351CRG5 0000     	           	IDLE SHAFT,ASSY               	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PM001	AM    	2351CRG5 0000     	           	IDLE SHAFT,ASSY               	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PM001	AM    	2351CRG5 0000     	           	IDLE SHAFT,ASSY               	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PM001	AM    	23531RPC 0001     	           	GEAR,COUNTER RVS              	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PM001	AM    	23531RPC 0001     	           	GEAR,COUNTER RVS              	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PM001	AM    	23531RPC 0001     	           	GEAR,COUNTER RVS              	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PM001	AM    	23541RPC 0003     	           	GEAR,RVS IDLE                 	02/12/2019	      60	       0	        60	0
12/2019	G4AM01	1PM001	AM    	23541RPC 0003     	           	GEAR,RVS IDLE                 	16/12/2019	     180	       0	       180	0
12/2019	G4AM01	1PM001	AM    	23541RPC 0003     	           	GEAR,RVS IDLE                 	19/12/2019	     120	       0	       120	0
12/2019	G4AM01	1PN007	AM    	91206PHR 0032     	           	OIL SEAL, 35X58X8             	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PN007	AM    	91207P7Z 0032     	           	OIL SEAL 44X68X8              	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PN007	AM    	91304RPC 0030     	           	O-RING,39X1.9                 	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PN007	AM    	91307RPC 0000     	           	O-RING,22.5X1.9               	02/12/2019	     720	       0	       720	0
12/2019	G4AM01	1PN007	AM    	91311PA9 0043     	           	O-RING,7.7X1.9                	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PN007	AM    	91314PW4 0033     	           	O-RING,11X1.9                 	02/12/2019	     360	       0	       360	0
12/2019	G4AM01	1PN007	AM    	91331PL5 J002     	           	O-RING,20.2X2.4               	02/12/2019	     360	       0	       360	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	29/11/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	02/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	03/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	04/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	05/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	06/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	09/12/2019	    5640	       0	      5640	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	10/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	11/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	12/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	13/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	16/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	17/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	18/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	19/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711R60 U001AA   	           	VALVE INLET                   	20/12/2019	    3000	       0	      3000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	29/11/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	02/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	03/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	04/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	05/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	06/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	09/12/2019	    5520	       0	      5520	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	10/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	11/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	12/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	13/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	16/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	17/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	18/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	19/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	20/12/2019	    9000	       0	      9000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	25/12/2019	   12000	       0	     12000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	26/12/2019	   12000	       0	     12000	0
12/2019	G4AM02	1PP001	MCEV  	14711RB0 0001AA   	           	VALVE INLET                   	27/12/2019	    4440	       0	      4440	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	29/11/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	02/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	03/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	04/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	05/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	06/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	09/12/2019	   45120	       0	     45120	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	10/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	11/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	12/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	13/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	16/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	17/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	18/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	19/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	20/12/2019	   48000	       0	     48000	0
12/2019	G4AM02	1PP001	MCEV  	14721P2A 0001AA   	           	VALVE EXHAUST                 	25/12/2019	   24000	       0	     24000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	29/11/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	02/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	03/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	04/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	05/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	06/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	09/12/2019	    5640	       0	      5640	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	10/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	11/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	12/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	13/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	16/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	17/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	18/12/2019	    6000	       0	      6000	0
12/2019	G4AM02	1PP001	MCEV  	14721RB0 0001AA   	           	VALVE EXHAUST                 	19/12/2019	    6000	       0	      6000	0
